EMPRESA,CODIGO,DESCRICAO,INSMF,CEPCI,EMPENHADO,LIQUIDADO,PAGO
2,17624,AMENDOLA & AMENDOLA SOFTWARE LTDA,04.326.049/0001-90,SALES,646031.98,282594.67,173051.64
2,19454,INTERMAPAS GEOTECNOLOGIAS LTDA,09.290.603/0001-40,SAO JOSE DOS CAMPOS,517515.46,246245.0,196996.0
2,18975,DEMANDANET DESENVOLVIMENTO DE SOFTWARES LTDA,12.866.344/0001-67,SAO JOSE DO RIO PRETO,390000.0,156000.0,156000.0
2,45625,CLONE TECNOLOGIA LTDA,27.484.201/0001-68,LONDRINA,235289.2,75901.68,53849.36
2,17538,DSIN TECNOLOGIA DA INFORMACAO LTDA,07.342.481/0001-62,MARILIA,72466.14,60388.45,36233.07
2,6783,ARLEI ANDREOTTI INFORMATICA,08.777.429/0001-00,ASSIS,69111.0,48066.0,42280.0
2,29434,WARELINE BRASIL DESENVOLVIMENTO DE SOFTWARE LTDA,71.613.996/0001-59,CAMPINAS,65135.16,18883.79,12255.86
2,28915,NOBRITECH TECNOLOGIA E SISTEMAS LTDA,09.290.380/0001-10,SAO PAULO,62400.0,31200.0,31200.0
2,37703,"ORDEM PÚBLICA, CONSULTORIA, SOFTWARE E TREINAMENTO",07.210.985/0001-29,Assis/SP,61980.0,25140.0,25140.0
2,8589,SMARAPD INFORMATICA LTDA,50.735.505/0001-72,RIB.PRETO,60775.0,55983.4,55983.4
2,46165,JVM - PROJETOS E SISTEMAS LTDA,50.541.260/0001-42,MARILIA,55000.0,16500.0,11000.0
2,28869,RVMA TREINAMENTO EM TECNOLOGIA LTDA,48.150.703/0001-22,MARILIA,47130.27,15598.35,7715.37
2,22819,OPERADOR NACIONAL DO SISTEMA DE REGISTRO ELETRONIC,37.318.313/0001-00,BRASILIA,32000.0,0.0,0.0
2,17842,Tecnomind Solucoes Em Tecnologia Ltda,15.329.924/0001-03,Marilia,25866.0,7541.0,4388.0
2,11866,NP TECNOLOGIA E GESTAO DE DADOS LTDA,07.797.967/0001-95,SAO JOSE DOS PINHAIS,24600.0,24600.0,24600.0
2,44008,CROMA TECNOLOGIA DA INFORMACAO LTDA,35.828.826/0001-28,BRASILIA,19540.0,8370.0,8370.0
2,40297,INSTAR TECNOLOGIA LTDA,08.225.893/0001-85,PENAPOLIS,16786.26,7466.48,3600.0
2,45029,MAMBO TECNOLOGIA S.A.,24.406.178/0002-86,CAMPINAS,13999.0,6999.5,6999.5
2,44807,MASTERTEC TECNOLOGIA E SERVICOS ESPECIALIZADOS LTD,01.177.978/0001-96,BALNEARIO CAMBORIU,11389.38,2915.3,2915.3
2,23310,PROSUN INFORMATICA LTDA,60.023.231/0001-42,MARILIA,7729.0,7729.0,5230.0
2,21564,SCORPION INFORMATICA  EIRELI,04.567.265/0001-27,CURITIBA,7588.8,7588.8,7588.8
2,14801,GVTECH SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,15.834.731/0001-00,SAO LEOPOLDO,6652.0,6652.0,6652.0
2,29173,"MAPDATA-TECNOLOGIA,INFORMATICA E COMERCIO LTDA",66.582.784/0001-11,AMERICANA,6000.0,6000.0,6000.0
2,42605,Bravia Geotecnologia Ltda,23.545.003/0001-06,Palmas - TO,4929.56,4929.56,0.0
2,36819,AMMO INFORMATICA LTDA,07.300.151/0001-04,MARINGA,4410.0,4410.0,2450.0
2,19108,EGC COMERCIO E ATACADISTA DE INFORMATICA E ELETROE,31.768.037/0001-98,CONDE,3945.0,3680.0,3180.0
2,9483,SIPVOX TECNOLOGIA DA INFORMACAO LTDA,09.193.427/0001-28,BEBEDOURO,3800.0,3800.0,0.0
2,44798,IRD PRODUTOS DE INFORMATICA LTDA,10.402.061/0001-39,NAVEGANTES,3775.0,3775.0,3775.0
2,41084,INFOSHOP41 TELEINFORMATICA LTDA,09.441.686/0001-20,CURITIBA,2819.9,2819.9,2819.9
2,27449,MARCIA ADRIANA DE SOUSA SUPRIMENTOS DE INFORMATICA,20.988.198/0001-70,SAO JOSE DOS PINHAIS,2800.0,2800.0,2800.0
2,43669,H2T TECNOLOGIA LTDA,58.971.574/0001-97,BIGUACU,2315.6,2315.6,2315.6
2,17436,REDE OK SERVICOS DE TECNOLOGIA E CREDITO LTDA,23.236.392/0001-98,BARUERI,1552.27,1552.27,1552.27
2,40003,MASTER INFORMATICA DO BRASIL LTDA,23.539.439/0001-92,ANDRADINA,1399.0,1399.0,1399.0
2,12138,FIORILLI SOFTWARE LTDA,01.704.233/0001-38,BALSAMO,1200.0,1200.0,1200.0
2,47394,"FUNDACAO DE FOMENTO A CIENCIA, TECNOLOGIA INOVACAO",47.347.477/0001-01,LONDRINA,600.0,600.0,600.0
2,36440,A.C. DE ALMEIDA INFORMATICA E TECNOLOGIA LTDA,44.658.678/0001-31,LIMEIRA,288.0,288.0,288.0
